FY	SN	MODEL	DEST	CHASSIS	LCD PANEL	LCD_LABEL	LCD_VENDOR	INVERTER/LD	I_LABEL/LD_LABEL	TCON	T_LABEL	MAIN BOARD	M_LABEL	PSU	PSU_LABEL	REMOTE COMMANDER	REMOTE COMMANDER_LABEL
FY15	6800001-7000000	KDL-50W756C	UKA	GN1G_XMA	181208611	W50HFWS	Wistron	189587111	019.20007.0021	See attached Excel file "FY15 Tcon"	See attached Excel file "FY15 T-con"	A2071539A / A2069649A	BMX_XMA_AEP_T2S2_SPRO / COMPL SVC BMX_XMA_AEP_T2S2	149300412	AC ADAPTOR (120W)	149296311	RMT-TX100D
FY15	7000001-7200000	KDL-50W756C	RU3	GN1G_XMA	181208611	W50HFWS	Wistron	189587111	019.20007.0021	See attached Excel file "FY15 Tcon"	See attached Excel file "FY15 T-con"	A2071539A / A2069649A	BMX_XMA_AEP_T2S2_SPRO / COMPL SVC BMX_XMA_AEP_T2S2	149300412	AC ADAPTOR (120W)	149296111	RMT-TX100E
FY15	2000001-2200000	KDL-50W805C	RU3	GN1G_XMA	181208711	W50HFWB	Wistron	189587111	019.20007.0021	See attached Excel file "FY15 Tcon"	See attached Excel file "FY15 T-con"	A2069649A	COMPL SVC BMX_XMA_AEP_T2S2	149300312	AC ADAPTOR (120W)	149296111	RMT-TX100E
FY15	6000001-6800000	KDL-50W805C	CEI	GN1G_XMA	181208711	W50HFWB	Wistron	189587111	019.20007.0021	See attached Excel file "FY15 Tcon"	See attached Excel file "FY15 T-con"	A2071539A / A2069649A	BMX_XMA_AEP_T2S2_SPRO / COMPL SVC BMX_XMA_AEP_T2S2	149300412	AC ADAPTOR (120W)	149296311	RMT-TX100D
FY15	6800001-7000000	KDL-50W805C	UKA	GN1G_XMA	181208711	W50HFWB	Wistron	189587111	019.20007.0021	See attached Excel file "FY15 Tcon"	See attached Excel file "FY15 T-con"	A2071539A / A2069649A	BMX_XMA_AEP_T2S2_SPRO / COMPL SVC BMX_XMA_AEP_T2S2	149300412	AC ADAPTOR (120W)	149296311	RMT-TX100D
FY15	7000001-7200000	KDL-50W805C	RU3	GN1G_XMA	181208711	W50HFWB	Wistron	189587111	019.20007.0021	See attached Excel file "FY15 Tcon"	See attached Excel file "FY15 T-con"	A2071539A / A2069649A	BMX_XMA_AEP_T2S2_SPRO / COMPL SVC BMX_XMA_AEP_T2S2	149300412	AC ADAPTOR (120W)	149296111	RMT-TX100E
FY15	2000001-2200000	KDL-50W807C	RU3	GN1G_XMA	181208611	W50HFWS	Wistron	189587111	019.20007.0021	See attached Excel file "FY15 Tcon"	See attached Excel file "FY15 T-con"	A2069649A	COMPL SVC BMX_XMA_AEP_T2S2	149300312	AC ADAPTOR (120W)	149296111	RMT-TX100E
FY15	6000001-6800000	KDL-50W807C	CEI	GN1G_XMA	181208611	W50HFWS	Wistron	189587111	019.20007.0021	See attached Excel file "FY15 Tcon"	See attached Excel file "FY15 T-con"	A2071539A / A2069649A	BMX_XMA_AEP_T2S2_SPRO / COMPL SVC BMX_XMA_AEP_T2S2	149300412	AC ADAPTOR (120W)	149296311	RMT-TX100D
FY15	6800001-7000000	KDL-50W807C	UKA	GN1G_XMA	181208611	W50HFWS	Wistron	189587111	019.20007.0021	See attached Excel file "FY15 Tcon"	See attached Excel file "FY15 T-con"	A2071539A / A2069649A	BMX_XMA_AEP_T2S2_SPRO / COMPL SVC BMX_XMA_AEP_T2S2	149300412	AC ADAPTOR (120W)	149296311	RMT-TX100D
FY15	7000001-7200000	KDL-50W807C	RU3	GN1G_XMA	181208611	W50HFWS	Wistron	189587111	019.20007.0021	See attached Excel file "FY15 Tcon"	See attached Excel file "FY15 T-con"	A2071539A / A2069649A	BMX_XMA_AEP_T2S2_SPRO / COMPL SVC BMX_XMA_AEP_T2S2	149300412	AC ADAPTOR (120W)	149296111	RMT-TX100E
FY15	2000001-2200000	KDL-50W808C	RU3	GN1G_XMA	181208711	W50HFWB	Wistron	189587111	019.20007.0021	See attached Excel file "FY15 Tcon"	See attached Excel file "FY15 T-con"	A2069649A	COMPL SVC BMX_XMA_AEP_T2S2	149300312	AC ADAPTOR (120W)	149296111	RMT-TX100E
FY15	6000001-6800000	KDL-50W808C	CEI	GN1G_XMA	181208711	W50HFWB	Wistron	189587111	019.20007.0021	See attached Excel file "FY15 Tcon"	See attached Excel file "FY15 T-con"	A2071539A / A2069649A	BMX_XMA_AEP_T2S2_SPRO / COMPL SVC BMX_XMA_AEP_T2S2	149300412	AC ADAPTOR (120W)	149296311	RMT-TX100D
FY15	6800001-7000000	KDL-50W808C	UKA	GN1G_XMA	181208711	W50HFWB	Wistron	189587111	019.20007.0021	See attached Excel file "FY15 Tcon"	See attached Excel file "FY15 T-con"	A2071539A / A2069649A	BMX_XMA_AEP_T2S2_SPRO / COMPL SVC BMX_XMA_AEP_T2S2	149300412	AC ADAPTOR (120W)	149296311	RMT-TX100D
FY15	7000001-7200000	KDL-50W808C	RU3	GN1G_XMA	181208711	W50HFWB	Wistron	189587111	019.20007.0021	See attached Excel file "FY15 Tcon"	See attached Excel file "FY15 T-con"	A2071539A / A2069649A	BMX_XMA_AEP_T2S2_SPRO / COMPL SVC BMX_XMA_AEP_T2S2	149300412	AC ADAPTOR (120W)	149296111	RMT-TX100E
